MP2-1,CTC-EMT
MP2-2,CTC-EMT
MP4-24,CTC-EMT
MP6-18,CTC-EMT
MP6-6,CTC-EMT
MP6-11,CTC-EMT
MP6-15,CTC-EMT
MP6-16,CTC-EMT
MP7-21,CTC-EMT
MP7-1,CTC-EMT
MP7-3,CTC-EMT
MP8-8,CTC-EMT
MP7-9,CTC-EMT
MP7-4,CTC-EMT
MP7-7,CTC-EMT
MP7-18,CTC-EMT
MP7-20,CTC-EMT
MP7-16,CTC-EMT
MP7-12,CTC-EMT
MP7-13,CTC-EMT
MP7-31,CTC-EMT
MP7-42,CTC-EMT
MP7-30,CTC-EMT
MP7-25,CTC-EMT
MP7-29,CTC-EMT
MP7-33,CTC-EMT
MP7-34,CTC-EMT
MP7-41,CTC-EMT
MP7-37,CTC-EMT
MP7-40,CTC-EMT
MP2-36,CTC-EMT
MP2-30,CTC-EMT
MP2-32,CTC-EMT
MP2-24,CTC-EMT
MP2-26,CTC-EMT
MP2-11,CTC-EMT
MP2-4,CTC-EMT
MP2-17,CTC-EMT
MP2-18,CTC-EMT
MP2-20,CTC-EMT
MP2-21,CTC-EMT
TuMP2-100a,primary tumor
TuMP2-100b,primary tumor
TuMP2-10a,primary tumor
TuMP2-10b,primary tumor
TuMP2-10c,primary tumor
TuMP2-10d,primary tumor
TuMP2-10e,primary tumor
TuMP2-10f,primary tumor
TuMP2-10g,primary tumor
TuMP3-100a,primary tumor
TuMP3-100b,primary tumor
TuMP3-10a,primary tumor
TuMP3-10b,primary tumor
TuMP3-10c,primary tumor
TuMP3-10d,primary tumor
TuMP3-10e,primary tumor
TuMP3-10f,primary tumor
TuMP3-10g,primary tumor
TuMP4-10a,primary tumor
TuMP4-10b,primary tumor
TuMP4-10c,primary tumor
TuMP4-10d,primary tumor
TuMP4-10e,primary tumor
TuMP4-10f,primary tumor
TuMP4-10g,primary tumor
TuMP4-10h,primary tumor
TuMP7-10a,primary tumor
TuMP7-10b,primary tumor
TuMP7-10c,primary tumor
TuMP7-10d,primary tumor
TuMP7-10e,primary tumor
TuMP7-10f,primary tumor
TuMP7-10g,primary tumor
TuMP7-10h,primary tumor
TuGMP3-1-051413,primary tumor 2
TuGMP3-14-051413,primary tumor 2
TuGMP3-15-051413,primary tumor 2
TuGMP3-16-051413,primary tumor 2
TuGMP3-17-051413,primary tumor 2
TuGMP3-19-051413,primary tumor 2
TuGMP3-2-051413,primary tumor 2
TuGMP3-20-051413,primary tumor 2
TuGMP3-22-051413,primary tumor 2
TuGMP3-24-051413,primary tumor 2
TuGMP3-25-051413,primary tumor 2
TuGMP3-26-051413,primary tumor 2
TuGMP3-31-051413,primary tumor 2
TuGMP3-34-051413,primary tumor 2
TuGMP3-35-051413,primary tumor 2
TuGMP3-4-051413,primary tumor 2
TuGMP3-5-051413,primary tumor 2
TuGMP3-6-051413,primary tumor 2
TuGMP3-7-051413,primary tumor 2
TuGMP3-8-051413,primary tumor 2
